agency,county,town,address,X,Y,O_ABC,Serve,fax,mail,name,data
社團法人高雄市八方義行團關懷協會私立八方居家長照機構,高雄市,鳳山區,高雄市鳳山區東門里中山東路58巷32號,120.3701706,22.6228714,B,居家服務,07-7190805,nurseaide107@gmail.com,陳虹秀,20210501 15:17:35
新竹縣寶山鄉新城社區發展協會,新竹縣,寶山鄉,新竹縣寶山鄉新城村寶新路二段251巷25號,120.9776535,24.74185562,B,喘息服務,03-5762295,windsugar2015@gmail.com,李榮?,20221229 10:22:09
新竹縣禾意關懷協會,新竹縣,新埔鎮,新竹縣新埔鎮四座里楊新路一段5號,121.0812302,24.82770538,C,巷弄長照站,03-5886158,kmt081@yahoo.com.tw,饒瑞士,20220110 15:59:38
社團法人臺東縣弱勢者關懷協會華源(社照C),臺東縣,太麻里,臺東縣太麻里鄉華源村1鄰15-1號,121.004837,22.65520287,C,巷弄長照站,000-359-586,402210044@student.tajen.edu.tw,莊裕櫻,20200207 09:29:04
臺北市政府社會局委託社團法人中華民國紅心字會經營管理臺北市信義社區長照機構,臺北市,信義區,臺北市信義區興雅里松隆路36號5樓,121.567543,25.04339409,B,營養餐飲服務,02-87870300,xinyitw@yahoo.com.tw,劉緒倫,20201230 16:59:33
高雄市私立家福居家長照機構,高雄市,三民區,高雄市三民區鼎和街5號2樓,120.3191071,22.66640472,B,居家服務,(07)3315836,jf0933410585@gmail.com,林昀煖,20221230 20:52:45
桃園市都市原住民老人會,桃園市,蘆竹區,桃園市蘆竹區內厝里東溪路28號,121.2797546,25.06368446,C,巷弄長照站,03-4802337,ccchungdaw@mohw.gov.tw,待補,20190903 17:08:04
財團法人高雄市華仁社會福利慈善事業基金會附設臺南市私立左鎮社區長照機構,臺南市,左鎮區,臺南市左鎮區光和里51-10號,120.3796921,23.06752586,B,日間照顧服務,06-5732663,zuojhendaycare@gmail.com,高華志,20210101 09:01:14
南投縣草屯鎮衛生所,南投縣,草屯鎮,南投縣草屯鎮中山里草溪路882巷7號,120.6807098,23.97327232,B,居家失能個案家庭醫師照護服務,049-2362023*212,bear1234li19@gmail.com,簡宏謀,20220323 10:57:36
社團法人南投縣慈慧善行協會,南投縣,集集鎮,南投縣集集鎮和平里民生路342號,120.7792587,23.827034,B,營養餐飲服務,049-2763012,tsuhuey1@ms33.hinet.net,林烈煌,20220105 11:42:48
可馨居家護理所-樹林區(醫事C),新北市,樹林區,新北市樹林區圳福里千歲街61巷12弄28號,121.4279022,25.19942665,C,巷弄長照站,02-2239-8785、0930866217、0919471279,wind59450@gmail.com,余儒,20210526 18:00:09
中華民國紅心字會,臺中市,北屯區,臺中市北屯區平心里安順三街13號1樓,120.6863556,24.17394447,B,喘息服務,04-22425159,rhtaichunganshun@gmail.com,劉緒倫,20230417 14:00:52
大仁康復護理之家,嘉義市,西區民,嘉義市西區民族路666號,120.444191,23.47562218,B,喘息服務,05-2282666,lsp2302449@yahoo.com.tw,李淑嬪,20230529 16:23:31
平和醫療社團法人附設和平護理之家,新竹市,北區磐,新竹市北區磐石里和平路86-1號6、7、8樓,120.9556351,24.8088913,B,喘息服務,03-5260151,amy158825@yahoo.com.tw,徐依雯,20210113 16:06:15
宜蘭縣礁溪鄉玉田社區發展協會,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉白雲村玉龍路一段479巷6號,121.7856216,24.7979126,C,巷弄長照站,0932-163928,peo123@mail.e-land.gov.tw,黃正為,20200630 15:09:53
嘉義縣民雄鄉菁埔社區發展協會,嘉義縣,民雄鄉,嘉義縣民雄鄉菁埔村137-5號,120.3989105,23.55609131,C,巷弄長照站,05-2265002,albdz44@yahoo.com.tw,何明春,20230607 15:49:36
社團法人中華傳愛社區服務協會-新興社區,臺中市,北區新,臺中市北區新興里雙十路1段79號,120.6859436,24.1455307,C,巷弄長照站,(04)22984774,winnie_chang@e-touch.org.tw,杜明達,20210506 17:41:19
財團法人弘道老人福利基金會(屏東縣),屏東縣,潮州鎮,屏東縣潮州鎮永春里興隆路118號,120.5404434,22.54281807,A,個案管理服務,08-7892331,heilychen@hondao.org.tw,王乃弘,20230118 16:41:10
臺東縣私立太麻里老人長期照顧中心(養護型),臺東縣,太麻里,臺東縣太麻里鄉泰和村外環路220號,121.0035553,22.60606194,B,喘息服務,089-780699#333,jo348740@gmail.com,朱自強,20201230 14:11:37
力健復健科診所(醫事C),新北市,汐止區,新北市汐止區智慧里大同路2段265號1樓,121.6532135,25.06619644,C,巷弄長照站,(02)26470755,A0975567232@gmail.com,楊威,20210526 18:33:02
社團法人中華民國士林靈糧堂社會福利協會附設桃園市私立龜山陸光社區長照機構,桃園市,龜山區,桃園市龜山區陸光里029鄰自強西路240號1樓,121.331749,24.99531937,B,小規模多機能服務,03-2132050,ksdaycare@slsc.org.tw,劉群茂,20230426 13:20:07
其昕事業附設高雄市私立其昕居家長照機構,高雄市,三民區,高雄市三民區同德里鐵新二街62號,120.3120346,22.64020157,B,居家服務,0938-632-225,chixing13@gmail.com,林珮瑾,20230131 09:00:49
大村鄉衛生所,彰化縣,大村鄉,彰化縣大村鄉大村村中正西路340號,120.5469666,23.99354172,C,巷弄長照站,04-8520513,yenwizone@mail.chshb.gov.tw,蕭又仁,20200929 16:08:39
台東縣私立樂心居家長照機構,臺東縣,臺東市,臺東縣臺東市民生里徐州街334號1樓,121.1468124,22.76300621,B,居家服務,089-333556,kuo061226@gmail.com,郭泰豐,20230117 17:47:12
高雄市私立日光樂家老人長期照顧中心(養護型),高雄市,左營區,高雄市左營區博愛四路250號2樓,120.3147812,22.68523407,B,喘息服務,07-3482999,sun_garden348@yahoo.com.tw,蔡幸君,20230120 16:23:39
佑民醫療社團法人佑民醫院,南投縣,草屯鎮,南投縣草屯鎮山腳里太平路一段200號,120.6818619,23.96053505,B,居家失能個案家庭醫師照護服務,049-2358151,911520@cch.org.tw,王斯弘,20230531 11:50:02
好樂齡銀髮事業有限公司附設臺中市私立顧老照居家式服務類長期照顧服務機構,臺中市,北屯區,臺中市北屯區平田里001鄰文心路四段955號4樓之4,120.6951065,24.17155266,A,個案管理服務,04-22474455,howard.service@msa.hinet.net,林峻宏,20211221 11:54:51
好樂齡銀髮事業有限公司附設臺中市私立顧老照居家式服務類長期照顧服務機構,臺中市,北屯區,臺中市北屯區平田里001鄰文心路四段955號4樓之4,120.6951065,24.17155266,B,專業照護服務,04-22474455,howard.service@msa.hinet.net,林峻宏,20230629 16:44:16
臺南市私立康慈老人長期照顧中心(養護型),臺南市,大內區,臺南市大內區頭社里頭社83-16號,120.3835831,23.14691353,B,喘息服務,06-5761878,0325@loveandhealthy.com.tw,蘇惠玲,20201231 13:44:24
職心居家職能治療所,雲林縣,崙背鄉,雲林縣崙背鄉崙前村仁愛街165號,120.3486023,23.75970268,B,專業照護服務(CC01),0937-962233,otyichen@yahoo.com.tw,蔡佾錄,20230802 17:19:14
社團法人屏東縣社會福利聯盟,屏東縣,潮州鎮,屏東縣潮州鎮新生里六合路59號,120.5370712,22.55118179,B,營養餐飲服務,08-7883344,zhenonly@yahoo.com.tw,甘朴鈜,20201231 21:21:06
宜蘭縣失智症照顧服務協會,宜蘭縣,宜蘭市,宜蘭縣宜蘭市西門里同慶街95號,121.7507401,24.76167297,C,巷弄長照站,03-933-0581,peo123@mail.e-land.gov.tw,簡志龍,20221216 14:09:14
耆康實業有限公司附設臺北市私立小太陽居家長照機構,臺北市,松山區,臺北市松山區自強里三民路35巷9號2樓,121.5624695,25.05532074,B,喘息服務,027-420-058,tw.softlife@gmail.com,嚴成茂,20220322 11:56:33
臺中市神岡區北庄社區發展協會,臺中市,神岡區,臺中市神岡區北庄里中山路1244號,120.668251,24.25740433,C,巷弄長照站,0910-582180,yz4417@yahoo.com.tw,林照豐,20210505 16:16:04
李文珍小兒科診所,臺北市,南港區,臺北市南港區研究院路二段74號,121.6151047,25.04557037,B,居家失能個案家庭醫師照護服務,026-541-871,liwennchenn@gmail.com,李文珍,20221230 21:47:40
李文珍小兒科診所,臺北市,南港區,臺北市南港區研究院路二段74號,121.6151047,25.04557037,B,居家失能個案家庭醫師照護服務,026-541-871,liwennchenn@gmail.com,李文珍,20220325 11:58:02
臺北市私立晨欣老人長期照顧中心(養護型),臺北市,中山區,臺北市中山區集英里中山北路2段96巷19號3樓,121.5219193,25.05989647,B,喘息服務,02-25212226,chenxin96193@gmail.com,李政勳,20221229 23:17:29
台南市私立康寧護理之家,臺南市,下營區,臺南市下營區中營里中營里1053號1-4樓,120.2759476,23.21641922,B,喘息服務,06-6792296,corning0712@yahoo.com.tw,劉淑娥,20201231 13:42:51
誼華居家護理所,宜蘭縣,五結鄉,宜蘭縣五結鄉二結路18巷40號4F之2,121.7690811,24.70230293,B,專業照護服務,0971-080-402,fanfan910516@yahoo.com.tw,陳靜宜,20230103 15:33:06
財團法人伊甸社會福利基金會宜蘭分事務所(頭城武營站),宜蘭縣,頭城鎮,宜蘭縣頭城鎮武營里武營路16-8號,121.8247757,24.86178589,C,巷弄長照站,03-9771238,peo123@mail.e-land.gov.tw,成亮,20200610 19:09:46
彰化縣埔鹽鄉天盛社區發展協會,彰化縣,埔鹽鄉,彰化縣埔鹽鄉天盛村天盛村番金路61之7號,120.4294128,23.98216057,C,巷弄長照站,04-8651559,C7278503@gmail.com,蔡文俊,20190610 00:39:58
財團法人私立廣恩老人養護中心附設新北市私立瑞芳明燈社區長照機構,新北市,瑞芳區,新北市瑞芳區龍興里明燈路三段2號2樓,121.8088989,25.10777092,B,小規模多機能服務,02-24063888,rueifang103@gmail.com,林偉峰,20220317 16:26:26
衛生福利部苗栗醫院附設北苗市場社區長照機構,苗栗縣,苗栗市,苗栗縣苗栗市北苗里15鄰中華路45號2樓,120.824585,24.57267571,B,日間照顧服務,037-260336,81489@mil.mohw.gov.tw,李明輝,20221227 08:16:15
彰化縣永靖鄉五汴社區發展協會,彰化縣,永靖鄉,彰化縣永靖鄉五汴村五汴巷1號,120.5600281,23.93131638,C,巷弄長照站,0932-546879,ke@mail.chshb.gov.tw,陳俊志,20230206 09:54:18
其昕事業附設高雄市私立其昕居家長照機構,高雄市,三民區,高雄市三民區同德里鐵新二街62號,120.3120346,22.64020157,C,巷弄長照站,0938-632-225,chixing13@gmail.com,林珮瑾,20230303 11:47:11
新仁醫院,新竹縣,竹北市,新竹縣竹北市福德里博愛街331號,121.0078812,24.83563614,A,個案管理服務,03-5552039分機1810,sjh65@seed.net.tw,吳政哲,20230222 14:33:40
松德租賃有限公司台東營業所,臺東縣,成功鎮,臺東縣成功鎮民生路156號,121.374939,23.10295677,B,交通接送服務,089-855003,songderental089@gmail.com,張世昕,20220114 21:27:14
高雄市私立圓柏社區(家庭托顧)長照機構,高雄市,楠梓區,高雄市楠梓區秀昌里後昌路886巷7號1樓,120.2943573,22.71348381,B,家庭托顧服務,0921-422-911,daycare3660112@gmail.com,蔡佳宏,20220207 09:10:44
國軍高雄總醫院左營分院附設民眾診療服務處社區式(小規模多機能)服務類長期照顧服務機構,高雄市,左營區,高雄市左營區合群里軍校路553號,120.2905045,22.70121193,B,小規模多機能服務,07-5817121#3498,S001253@mail.ngh.com.tw,翁銘偉,20220114 16:51:39
高雄市立岡山醫院（委託秀傳醫療社團法人經營）,高雄市,岡山區,高雄市岡山區岡山里壽天路12號,120.294632,22.79655075,C,巷弄長照站,07-6222131#51196,agangshan99@gmail.com,趙昭欽,20230306 17:40:28
彰化縣私立員林社區式服務類長期照顧服務機構,彰化縣,員林市,彰化縣員林市南平里南平東街9巷5號,120.564209,23.9653244,B,家庭托顧服務,008-348-391,john12839121@gmail.com,江麗汶,20220208 14:19:03
沙爾德聖保祿修女會醫療財團法人附設聖保祿居家護理所,桃園市,桃園區,桃園市桃園區建新街123號,121.3120041,24.98231697,B,專業照護服務,03 3613141,tecogi6@mail.sph.org.tw,陳佳鈴,20230221 11:33:17
